WeekNum,Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,1/21/19,1,0,0,0,0,0,0
2,1/28/19,1,1,0,0,0,0,0
3,2/4/19,1,1,1,0,0,0,0
4,2/11/19,1,0,0,0,0,0,0
5,2/18/19,1,0,1,0,0,0,0
6,2/25/19,1,0,0,0,0,0,0
7,3/4/19,1,0,0,0,0,0,0
8,3/11/19,1,1,0,0,0,0,0
9,3/18/19,1,0,0,0,0,0,0
10,3/25/19,1,1,0,0,0,0,0
11,4/1/19,1,1,0,0,0,0,0
12,4/8/19,1,0,0,0,0,0,0
13,4/15/19,1,0,0,0,0,0,0
14,4/22/19,1,1,0,0,0,0,0
15,4/29/19,1,1,1,0,0,0,0
16,5/6/19,1,0,0,0,0,0,0
17,5/13/19,1,1,0,0,0,0,0
18,5/20/19,1,1,0,0,0,0,0
19,5/27/19,1,1,0,0,0,0,0
20,6/3/19,1,1,0,0,0,0,0
21,6/10/19,1,1,0,0,0,0,0
22,6/17/19,1,1,0,0,0,0,0
23,6/24/19,1,0,0,0,0,0,0
24,7/1/19,1,1,1,0,0,0,0
25,7/8/19,1,1,0,0,0,0,0
26,7/15/19,1,1,0,0,0,0,0
27,7/22/19,1,1,0,0,0,0,0
28,7/29/19,1,1,0,0,0,0,0
29,8/5/19,1,0,0,0,0,0,0
30,8/12/19,1,1,1,0,0,0,0
31,8/19/19,1,1,0,0,0,0,0
32,8/26/19,1,0,0,0,0,0,0
33,9/2/19,1,1,1,0,0,0,0
34,9/9/19,1,1,0,0,0,0,0
35,9/16/19,1,1,0,0,0,0,0
36,9/23/19,1,0,0,0,0,0,0
37,9/30/19,1,1,0,0,0,0,0
38,10/7/19,1,1,0,0,0,0,0
39,10/14/19,1,1,1,0,0,0,0
40,10/21/19,1,1,1,0,0,0,0
41,10/28/19,1,1,1,0,0,0,0
42,11/4/19,1,1,1,0,0,0,0
43,11/11/19,1,1,0,0,0,0,0
44,11/18/19,1,1,1,1,0,0,0
45,11/25/19,1,1,1,0,0,0,0
46,12/2/19,1,0,1,0,0,0,0
47,12/9/19,1,1,0,0,0,0,0
48,12/16/19,1,1,1,0,0,0,0
49,12/23/19,1,1,1,0,1,0,0
50,12/30/19,1,1,1,0,0,0,0
51,1/6/20,1,1,0,0,0,0,0
52,1/13/20,1,1,0,0,0,0,0
53,1/20/20,1,0,0,0,0,0,1
54,1/27/20,1,1,0,0,0,0,0
55,2/3/20,1,1,0,0,0,0,0
56,2/10/20,1,1,0,0,0,0,0
57,2/17/20,1,0,0,0,0,0,0
58,2/24/20,1,1,0,1,0,0,0
59,3/2/20,1,1,0,0,0,0,0
60,3/9/20,1,1,1,0,0,0,0
61,3/16/20,1,1,1,0,0,0,0
62,3/23/20,1,1,0,0,0,0,1
63,3/30/20,1,1,1,0,0,0,0
64,4/6/20,1,1,1,0,0,0,0
65,4/13/20,1,1,0,0,0,0,0
66,4/20/20,1,0,0,0,0,0,0
67,4/27/20,1,1,0,0,0,0,0
68,5/4/20,1,1,0,0,0,0,0
69,5/11/20,1,0,0,0,0,0,0
70,5/18/20,1,0,0,0,0,0,0
71,5/25/20,0,0,0,0,0,0,0
72,6/1/20,1,0,0,0,0,0,0
